ingredient_code,standard_name_kr,standard_name_en,alias_kr,alias_en
성분사전 표준화명칭목록,,,,
2026.06.30 기준,,,,
22708,스페니시세이지잎/줄기오일,Salvia Lavandulifolia Leaf/Stem Oil,,
22709,효모/왕귤껍질/황칠나무잎/줄기발효추출물,Saccharomyces/Citrus Grandis Peel/DendropanaxMorbifera Branch/Leaf Ferment Extract,,
22710,락토바실러스/(무화과나무열매/잎추출물)발효추출물,Lactobacillus/(Fig Fruit/Leaf Extract) Ferment Extract,,
22711,돌외캘러스추출물,Gynostemma Pentaphyllum Callus Extract,,
22712,수레국화캘러스용해추출물,Centaurea Cyanus Callus Lysate Extract,,
22713,라다넘수지추출물,Cistus Ladaniferus Resin Extract,,
22714,에우칼륍투스 스미티이잎오일,Eucalyptus Smithii Leaf Oil,,
22715,에스알-(메티오닐에스에이치-폴리펩타이드-131다이펩타이드-19헥사펩타이드-40),sr-(Methionyl sh-Polypeptide-131 Dipeptide-19Hexapeptide-40),,
22716,에스알-(메티오닐에스에이치-폴리펩타이드-130다이펩타이드-19헥사펩타이드-40),sr-(Methionyl sh-Polypeptide-130 Dipeptide-19Hexapeptide-40),,
22717,알-(에스-에이치아이브이-1올리고펩타이드-5알에이치-올리고펩타이드-98펜타펩타이드-79알에이치-올리고펩타이드-108알에이치-올리고펩타이드-100알에이치-올리고펩타이드-101),r-(s-HIV-1 Oligopeptide-5 rh-Oligopeptide-98Pentapeptide-79 rh-Oligopeptide-108 rh-Oligopeptide-100 rh-Oligopeptide-101),,
22718,알-(에스-에이치아이브이-1올리고펩타이드-5알에이치-올리고펩타이드-98올리고펩타이드-207알에이치-올리고펩타이드-109알에이치-올리고펩타이드-110알에이치-올리고펩타이드-101),r-(s-HIV-1 Oligopeptide-5 rh-Oligopeptide-98Oligopeptide-207 rh-Oligopeptide-109 rh-Oligopeptide-110 rh-Oligopeptide-101),,
22719,알-(에스-에이치아이브이-1올리고펩타이드-5알에이치-올리고펩타이드-98올리고펩타이드-205알에이치-올리고펩타이드-109알에이치-올리고펩타이드-100트라이펩타이드-89알에이치-올리고펩타이드-101),r-(s-HIV-1 Oligopeptide-5 rh-Oligopeptide-98Oligopeptide-205 rh-Oligopeptide-109 rh-Oligopeptide-100 Tripeptide-89 rh-Oligopeptide-101),,
22720,알-(에스-에이치아이브이-1올리고펩타이드-5알에이치-올리고펩타이드-98테트라펩타이드-89알에이치-올리고펩타이드-108알에이치-올리고펩타이드-100트라이펩타이드-89알에이치-올리고펩타이드-101),r-(s-HIV-1 Oligopeptide-5 rh-Oligopeptide-98Tetrapeptide-89 rh-Oligopeptide-108 rh-Oligopeptide-100Tripeptide-89 rh-Oligopeptide-101),,
22721,락토바실러스/겨우살이잎/가지발효추출물,,,
22722,락토바실러스/밀싹발효추출물,,,
22723,락토바실러스/감초발효추출물,,,
22724,멜로시라 눔물로이데스가루,,,
22725,피키아 쿠드리아브제비/효모/포도열매껍질/씨/줄기발효추출여과물가루,Pichia Kudriavzevii/Saccharomyces/Grape Peel/Seed/StemFerment Extract Filtrate Powder,,
22726,데카펩타이드-40올리고펩타이드-209아마이드,Decapeptide-40 Oligopeptide-209 Amide,,
22728,폴리아크릴레이트-54,Polyacrylate-54,,
22729,아스코빌프로필하이드롤라이즈드하이알루로네이트,Ascorbylpropyl Hydrolyzed Hyaluronate,,
22730,카프릴로일/카프릴로일류신아이소소바이드에스터즈,Capryloyl/Capryloyl Leucine Isosorbide Esters,,
22731,아이소소바이드,Isosorbide,,
22732,효모/왕귤껍질발효추출물,Saccharomyces/Citrus Grandis Peel Ferment Extract,,
22733,락토바실러스/(산수유/오미자)열매/(천문동/황기/인삼/석잠풀/하늘타리)뿌리/하늘타리씨/밤껍질발효추출물,Lactobacillus/(Cornus Officinalis/Schisandra ChinensisFruit)/(Asparagus Cochinchinensis/AstragalusMembranaceus/Panax Ginseng/StachysJaponica/Trichosanthes Kirilowii Root)/TrichosanthesKirilowii Seed/Chestnut Shell Ferment Extract,락토바실러스/(산수유/오미자)열매/(천문동/황기/인삼/바위솔/하늘타리)뿌리/하늘타리씨/밤껍질발효추출물,
22734,하와이무궁화캘러스추출물,Hibiscus Rosa-Sinensis Callus Extract,,
22735,후박나무잎추출물,,,
22736,생달나무가지추출물,,,
22737,구실잣밤나무가지추출물,,,
22738,효모/당유자껍질추출물발효여과물,,,
22739,키위/육계나무껍질/파인애플/(레몬/사과)펄프/껍질/수크로오스발효여과물,,,
22740,류코노스톡/누에고치추출물발효여과물,Leuconostoc/Silkworm Cocoon Extract Ferment Filtrate,,
22741,모새나무잎추출물,,,
22742,시엽감송뿌리오일,Nardostachys Jatamansi Root Oil,,
22743,락토바실러스/(알로에/참당귀뿌리/병풀/감초뿌리/홍삼/쇠비름)추출물발효여과물,,,
22744,다이메티콘메타크릴레이트,Dimethicone Methacrylate,,
22745,메타크릴로일옥시에틸포스포릴콜린,Methacryloyloxyethyl Phosphorylcholine,,
22746,메톡시피이지-9메타크릴레이트,Methoxy PEG-9 Methacrylate,,
22747,엔히드로박테르 아에로사쿠스발효추출여과물,Enhydrobacter Aerosaccus Ferment Extract Filtrate,,
22748,푸시디움 코키네움발효용해추출여과물,Fusidium Coccineum Ferment Lysate Extract Filtrate,,
22749,푸시디움 코키네움발효추출여과물,Fusidium Coccineum Ferment Extract Filtrate,,
22750,댕댕이나무열매추출물,Lonicera Caerulea Fruit Extract,,
22751,코코넛야자꽃넥타추출물,Cocos Nucifera (Coconut) Flower Nectar Extract,,
22752,생강나무가지추출물,Lindera Obtusiloba Branch Extract,,
22753,달맞이꽃추출물,Oenothera Biennis (Evening Primrose) Extract,,
22754,알-(에스에이치-올리고펩타이드-75에스에이치-폴리펩타이드-1),r-(sh-Oligopeptide-75 sh-Polypeptide-1),,
22755,메틸바닐레이트,Methyl Vanillate,,
22756,락토바실러스/연꽃씨발효추출물,,,
22757,가시복분자딸기잎/줄기추출물,,,
22758,치마버섯/병풀잎발효여과추출물,Schizophyllum Commune/Centella Asiatica Leaf FermentFiltrate Extract,,
22760,락토바실러스/(누에고치/녹차)추출물발효여과물,,,
22761,인체피부섬유아세포스페로이드배양액,Human Dermal Fibroblast Spheroid Conditioned Media,,
22762,매미허물추출물,Cicada Shell Extract,,
22763,쿠마로일헥사펩타이드-77,Coumaroyl Hexapeptide-77,,
22764,에스에이치-펜타펩타이드-6에스피아마이드,sh-Pentapeptide-6 SP Amide,,
22765,하이알루로닉애씨드/피이지-800크로스폴리머,Hyaluronic Acid/PEG-800 Crosspolymer,,
22766,하이알루로닉애씨드/피이지-800/다이메티콘크로스폴리머,Hyaluronic Acid/PEG-800/Dimethicone Crosspolymer,,
22767,생열귀나무줄기추출물,Rosa Davurica Stem Extract,,
22768,생열귀나무열매추출물,Rosa Davurica Fruit Extract,,
22769,다래줄기추출물,Actinidia Arguta Stem Extract,,
22770,2-카프로일카프로일메틸알라니네이트,2-Caproyl Caproyl Methyl Alaninate,,
22771,하이드록시메톡시페닐데칸온,Hydroxymethoxyphenyl Decanone,,
22772,아미디노글라이신,Amidinoglycine,,
22773,슈도지마 에피콜라/살구씨오일/올리브오일/해바라기씨오일/스위트아몬드오일/인삼추출물발효추출여과물,Pseudozyma Epicola/Apricot Kernel Oil/Olive FruitOil/Sunflower Seed Oil/Sweet Almond Oil/Panax GinsengRoot Extract Ferment Extract Filtrate,,
22774,백강잠추출물,,,
22775,다래잎추출물,,,
22776,다래꽃추출물,Actinidia Arguta Flower Extract,,
22777,도라지꽃추출물,Platycodon Grandiflorus Flower Extract,,
22778,멜로시라 눔물로이데스추출물,Melosira Nummuloides Extract,,
22779,고려엉겅퀴잎가루,,,
22780,헬리크리숨 스토에카스캘러스배양용해물,Helichrysum Stoechas Callus Culture Lysate,,
22781,데르마코쿠스 프로푼디용해추출물,Dermacoccus Profundi Lysate Extract,,
22782,스트렙토코쿠스 살리와리우스용해추출물,Streptococcus Salivarius Lysate Extract,,
22783,스타퓔로코쿠스 에피데르미디스용해추출물,Staphylococcus Epidermidis Lysate Extract,,
22785,락토바실러스/알로에베라잎껍질추출물발효여과물,,,
22786,에스알-(메티오닐상어폴리펩타이드-1다이펩타이드-19헥사펩타이드-40),sr-(Methionyl Shark Polypeptide-1 Dipeptide-19Hexapeptide-40),,
22787,에스알-(메티오닐철갑상어폴리펩타이드-1),sr-(Methionyl Sturgeon Polypeptide-1),,
22788,에스알-(메티오닐코끼리폴리펩타이드-1다이펩타이드-19헥사펩타이드-40),sr-(Methionyl Elephant Polypeptide-1 Dipeptide-19Hexapeptide-40),,
22789,에스에이치-폴리펩타이드-127,sh-Polypeptide-127,,
22790,에스에이치-폴리펩타이드-128,sh-Polypeptide-128,,
22791,노나펩타이드-44,Nonapeptide-44,,
22792,올리고펩타이드-211,Oligopeptide-211,,
22793,헵타펩타이드-58,Heptapeptide-58,,
22794,펜타펩타이드-81,Pentapeptide-81,,
22795,헥사펩타이드-89,Hexapeptide-89,,
22796,칸디다 봄비콜라/흰버드나무껍질/(매실나무/가르시니아열매)(뽕나무/복사나무잎)/회화나무뿌리/마카다미아씨오일/글리세린발효추출여과물,Candida Bombicola/Salix Alba Bark/(PrunusMume/Garcinia Cambogia Fruit)(Morus Alba/PeachLeaf)/Sophora Japonica Root/Macadamia Ternifolia SeedOil/Glycerin Ferment Extract Filtrate,,
22797,산흰쑥추출물,Artemisia Sieversiana Extract,,
22798,노박덩굴열매추출물,Celastrus Orbiculatus Fruit Extract,,
22799,드렁방동사니잎,Cyperus Flavidus Leaf,,
22800,메톡시피이지-10프로필트라이메톡시실레인,Methoxy PEG-10 Propyltrimethoxysilane,,
22801,송악추출물,Hedera Rhombea Extract,,
22802,금불초추출물,,,
22803,오이풀추출물,,,
22804,구릿대뿌리/참당귀뿌리/고본뿌리/쓴쑥잎/밤보늬/천궁뿌리/클로브꽃/목향뿌리/두송가지/열매/잎/다시마/페퍼민트잎/소나무잎/살구씨/칡뿌리수,,,
22805,아스퍼질러스/감초발효추출물,,,
22806,진흙버섯균사체/황기뿌리발효추출물,,,
22807,덱스트린/가티검/매스틱검추출물,,,
22808,에스알-(에스에이치-폴리펩타이드-139데카펩타이드-7),sr-(sh-Polypeptide-139 Decapeptide-7),,
22809,에스알-상어폴리펩타이드-1,sr-Shark Polypeptide-1,,
22810,철갑상어폴리펩타이드-1,Sturgeon Polypeptide-1,,
22811,에스알-코끼리폴리펩타이드-1,sr-Elephant Polypeptide-1,,
22812,람부탄잎추출물,Nephelium Lappaceum Leaf Extract,,
22813,폴리글리세릴-3솔비틸글리시레티네이트,Polyglyceryl-3 Sorbityl Glycyrrhetinate,,
22814,시토스테릴옥타트라이에노에이트,Sitosteryl Octatrienoate,,
22815,락토바실러스/꽃가루발효물,Lactobacillus/Pollen Ferment,,
22816,생열귀나무잎추출물,Rosa Davurica Leaf Extract,,
22817,흰목이버섯발효여과추출물,Tremella Fuciformis Ferment Filtrate Extract,,
22818,사과지게미,Apple Cider Lees,,
22819,영지버섯발효여과물,Ganoderma Lucidum Ferment Filtrate,,
22820,감태나무잎추출물,Lindera Glauca Leaf Extract,,
22821,락토바실러스/신강자초뿌리추출물발효여과물,,,
22822,락토바실러스/강활뿌리추출물발효여과물,,,
22823,올리고펩타이드-219,Oligopeptide-219,,
22824,옥타펩타이드-47,Octapeptide-47,,
22825,헥사펩타이드-94감마다이펩타이드-4,Hexapeptide-94 Gamma Dipeptide-4,,
22826,암브레트꽃/씨수,Hibiscus Abelmoschus Flower/Seed Water,,
22827,(땅콩열매/싹)/(감초/황금/고삼뿌리)/병풀추출물,(Peanut Fruit/Sprout)/(Licorice/ScutellariaBaicalensis/Sophora Flavescens Root)/Centella AsiaticaExtract,,
22828,파스향나무꽃/잎/줄기오일,Gaultheria Procumbens (Wintergreen) Flower/Leaf/StemOil,,
22829,에우칼륍투스 폴리브락테아가지/잎오일,Eucalyptus Polybractea Branch/Leaf Oil,,
22830,에우칼륍투스 코키이잎오일,Eucalyptus Kochii Leaf Oil,,
22831,에우칼륍투스 코키이가지/잎오일,Eucalyptus Kochii Branch/Leaf Oil,,
22832,락토바실러스발효추출여과물,Lactobacillus Ferment Extract Filtrate,,
22833,익지열매추출물,Alpinia Oxyphylla Fruit Extract,,
22834,쌍별귀뚜라미가루,,,
22835,옥타펩타이드-48,Octapeptide-48,,
22836,고로쇠나무뿌리추출물,,,
22837,고로쇠나무껍질추출물,,,
22838,고로쇠나무씨추출물,,,
22839,고로쇠나무잎추출물,,,
22840,패추출물,Ishige Okamurae Extract,,
22841,락토코쿠스/류코노스톡/괭생이모자반발효추출물,,,
22842,케리포리아 라케라타세포외소포,,,
22843,인체혈액유래엔케이세포배양액,,,
22844,크라시퓌쿠스 코르네우스추출물,,,
22845,사프란암술머리,,,
22846,인체조절T세포배양액,,,
22847,꽃잔디가지/꽃/잎/줄기추출물,Phlox Subulata Branch/Flower/Leaf/Stem Extract,,
22848,인체제대중간엽줄기세포배양액,Human Umbilical Mesenchymal Stem Cell ConditionedMedia,,
